"","country","HDI categories"
"78","0.759","Azerbaijan High huaman development"
"79","0.754","Brazil High huaman development"
"80","0.754","Grenada High huaman development"
"81","0.750","Bosnia and Herzegovina High huaman development"
"82","0.748","Macedonia High huaman development"
"83","0.745","Algeria High huaman development"
"84","0.743","Armenia High huaman development"
"85","0.743","Ukraine High huaman development"
"86","0.741","Jordan High huaman development"
"87","0.740","Peru High huaman development"
"88","0.740","Thailand High huaman development"
"89","0.739","Ecuador High huaman development"
"90","0.738","China High huaman development"
"91","0.736","Fiji High huaman development"
"92","0.735","Mongolia High huaman development"
"93","0.735","Saint Lucia High huaman development"
"94","0.730","Jamaica High huaman development"
"95","0.727","Colombia High huaman development"
"96","0.726","Dominica High huaman development"
"97","0.725","Suriname High huaman development"
"98","0.725","Tunisia High huaman development"
"99","0.722","Dominican Republic High huaman development"
"100","0.722","Saint Vincent and the Grenadines High huaman development"
"101","0.721","Tonga High huaman development"
"102","0.717","World High huaman development"
"103","0.716","Libya High huaman development"
"104","0.706","Belize High huaman development"
"105","0.704","Samoa High huaman development"
"106","0.701","Maldives High huaman development"
"107","0.701","Uzbekistan High huaman development"
"108","0.699","Moldova Medium huaman development"
"109","0.698","Botswana Medium huaman development"
"110","0.697","Gabon Medium huaman development"
"111","0.693","Paraguay Medium huaman development"
"112","0.691","Egypt Medium huaman development"
"113","0.691","Turkmenistan Medium huaman development"
"114","0.689","Indonesia Medium huaman development"
"115","0.684","Palestine Medium huaman development"
"116","0.683","Vietnam Medium huaman development"
"117","0.682","Philippines Medium huaman development"
"118","0.680","El Salvador Medium huaman development"
"119","0.674","Bolivia Medium huaman development"
"120","0.666","South Africa Medium huaman development"
"121","0.664","Kyrgyzstan Medium huaman development"
"122","0.649","Iraq Medium huaman development"
"123","0.648","Cape Verde Medium huaman development"
"124","0.647","Morocco Medium huaman development"
"125","0.645","Nicaragua Medium huaman development"
"126","0.640","Guatemala Medium huaman development"
"127","0.640","Namibia Medium huaman development"
"128","0.638","Guyana Medium huaman development"
"129","0.638","Micronesia Medium huaman development"
"130","0.627","Tajikistan Medium huaman development"
"131","0.625","Honduras Medium huaman development"
"132","0.624","India Medium huaman development"
"133","0.607","Bhutan Medium huaman development"
"134","0.605","Timor Leste Medium huaman development"
"135","0.597","Vanuatu Medium huaman development"
"136","0.592","Congo, Republic of the Medium huaman development"
"137","0.592","Equatorial Guinea Medium huaman development"
"138","0.588","Kiribati Medium huaman development"
"139","0.586","Laos Medium huaman development"
"140","0.579","Bangladesh Medium huaman development"
"141","0.579","Ghana Medium huaman development"
"142","0.579","Zambia Medium huaman development"
"143","0.574","São Tomé and Príncipe Medium huaman development"
"144","0.563","Cambodia Medium huaman development"
"145","0.558","Nepal Medium huaman development"
"146","0.556","Myanmar Medium huaman development"
"147","0.555","Kenya Medium huaman development"
"148","0.550","Pakistan Medium huaman development"
"149","0.541","Swaziland Low huaman development"
"150","0.536","Syria Low huaman development"
"151","0.533","Angola Low huaman development"
"152","0.531","Tanzania Low huaman development"
"153","0.527","Nigeria Low huaman development"
"154","0.518","Cameroon Low huaman development"
"155","0.516","Papua New Guinea Low huaman development"
"156","0.516","Zimbabwe Low huaman development"
"157","0.515","Solomon Islands Low huaman development"
"158","0.513","Mauritania Low huaman development"
"159","0.512","Madagascar Low huaman development"
"160","0.498","Rwanda Low huaman development"
"161","0.497","Comoros Low huaman development"
"162","0.497","Lesotho Low huaman development"
"163","0.494","Senegal Low huaman development"
"164","0.493","Haiti Low huaman development"
"165","0.493","Uganda Low huaman development"
"166","0.490","Sudan Low huaman development"
"167","0.487","Togo Low huaman development"
"168","0.485","Benin Low huaman development"
"169","0.482","Yemen Low huaman development"
"170","0.479","Afghanistan Low huaman development"
"171","0.476","Malawi Low huaman development"
"172","0.474","Côte d'Ivoire Low huaman development"
"173","0.473","Djibouti Low huaman development"
"174","0.452","Gambia Low huaman development"
"175","0.448","Ethiopia Low huaman development"
"176","0.442","Mali Low huaman development"
"177","0.435","Congo, Democratic Republic of the Low huaman development"
"178","0.427","Liberia Low huaman development"
"179","0.424","Guinea Bissau Low huaman development"
"180","0.420","Eritrea Low huaman development"
"181","0.420","Sierra Leone Low huaman development"
"182","0.418","Mozambique Low huaman development"
"183","0.418","South Sudan Low huaman development"
"184","0.414","Guinea Low huaman development"
"185","0.404","Burundi Low huaman development"
"186","0.402","Burkina Faso Low huaman development"
"187","0.396","Chad Low huaman development"
"188","0.353","Niger Low huaman development"
"189","0.352","Central African Republic Low huaman development"
