"","Country","2016 Estimates for 2015","Human Development"
"100","Saint Vincent and the Grenadines","0.722","High"
"101","Tonga","0.721","High"
"102","World","0.717","High"
"103","Libya","0.716","High"
"104","Belize","0.706","High"
"105","Samoa","0.704","High"
"106","Maldives","0.701","High"
"107","Uzbekistan","0.701","High"
"108","Moldova","0.699","Medium"
"109","Botswana","0.698","Medium"
"110","Gabon","0.697","Medium"
"111","Paraguay","0.693","Medium"
"112","Egypt","0.691","Medium"
"113","Turkmenistan","0.691","Medium"
"114","Indonesia","0.689","Medium"
"115","Palestine","0.684","Medium"
"116","Vietnam","0.683","Medium"
"117","Philippines","0.682","Medium"
"118","El Salvador","0.680","Medium"
"119","Bolivia","0.674","Medium"
"120","South Africa","0.666","Medium"
"121","Kyrgyzstan","0.664","Medium"
"122","Iraq","0.649","Medium"
"123","Cape Verde","0.648","Medium"
"124","Morocco","0.647","Medium"
"125","Nicaragua","0.645","Medium"
"126","Guatemala","0.640","Medium"
"127","Namibia","0.640","Medium"
"128","Guyana","0.638","Medium"
"129","Micronesia","0.638","Medium"
"130","Tajikistan","0.627","Medium"
"131","Honduras","0.625","Medium"
"132","India","0.624","Medium"
"133","Bhutan","0.607","Medium"
"134","Timor Leste","0.605","Medium"
"135","Vanuatu","0.597","Medium"
"136","Congo, Republic of the","0.592","Medium"
"137","Equatorial Guinea","0.592","Medium"
"138","Kiribati","0.588","Medium"
"139","Laos","0.586","Medium"
"140","Bangladesh","0.579","Medium"
"141","Ghana","0.579","Medium"
"142","Zambia","0.579","Medium"
"143","São Tomé and Príncipe","0.574","Medium"
"144","Cambodia","0.563","Medium"
"145","Nepal","0.558","Medium"
"146","Myanmar","0.556","Medium"
"147","Kenya","0.555","Medium"
"148","Pakistan","0.550","Medium"
"149","Swaziland","0.541","Low"
"150","Syria","0.536","Low"
"151","Angola","0.533","Low"
"152","Tanzania","0.531","Low"
"153","Nigeria","0.527","Low"
"154","Cameroon","0.518","Low"
"155","Papua New Guinea","0.516","Low"
"156","Zimbabwe","0.516","Low"
"157","Solomon Islands","0.515","Low"
"158","Mauritania","0.513","Low"
"159","Madagascar","0.512","Low"
"160","Rwanda","0.498","Low"
"161","Comoros","0.497","Low"
"162","Lesotho","0.497","Low"
"163","Senegal","0.494","Low"
"164","Haiti","0.493","Low"
"165","Uganda","0.493","Low"
"166","Sudan","0.490","Low"
"167","Togo","0.487","Low"
"168","Benin","0.485","Low"
"169","Yemen","0.482","Low"
"170","Afghanistan","0.479","Low"
"171","Malawi","0.476","Low"
"172","Côte d'Ivoire","0.474","Low"
"173","Djibouti","0.473","Low"
"174","Gambia","0.452","Low"
"175","Ethiopia","0.448","Low"
"176","Mali","0.442","Low"
"177","Congo, Democratic Republic of the","0.435","Low"
"178","Liberia","0.427","Low"
"179","Guinea Bissau","0.424","Low"
"180","Eritrea","0.420","Low"
"181","Sierra Leone","0.420","Low"
"182","Mozambique","0.418","Low"
"183","South Sudan","0.418","Low"
"184","Guinea","0.414","Low"
"185","Burundi","0.404","Low"
"186","Burkina Faso","0.402","Low"
"187","Chad","0.396","Low"
"188","Niger","0.353","Low"
"189","Central African Republic","0.352","Low"
